#{"t_start": 1613349893.9930804, "env_id": "balancebot-v0"}
r,l,t
[134.15344],173,3.839728
[134.15344],173,4.305486
[134.15344],173,4.794176
[134.15344],173,5.290872
[134.15344],173,5.732665
[134.15344],173,6.245308
[134.15344],173,6.792831
[134.15344],173,7.3025
[134.15344],173,7.840054
[134.15344],173,8.315788
[134.15344],173,8.856344
[134.15344],173,9.373929
[134.15344],173,9.914481
[134.15344],173,10.467003
[134.15344],173,10.971652
[134.15344],173,11.490264
[134.15344],173,12.04877
[134.15344],173,12.58836
[134.15344],173,13.104945
[134.15344],173,13.633531
[134.15344],173,14.205003
