#{"t_start": 1613348682.1957703, "env_id": "balancebot-v0"}
r,l,t
[-192.71661],57,3.674198
[-378.13705],107,5.52123
[-115.04453],93,7.003265
[-42.833492],108,8.880246
[31.917898],193,11.617927
[63.291664],199,14.091307
[72.66651],173,16.195678
[72.81805],177,18.824645
[90.97483],185,21.515448
[89.36643],207,24.05665
[88.57571],198,26.522056
[75.67983],181,28.725163
[75.978325],169,30.891369
[60.072384],148,32.757378
[90.29951],199,35.275643
[43.48915],123,36.983074
